date,stocks,bonds,gold,oil
2020-01-01,988.0156716534988,99.90185845582663,1489.1336791667466,57.87189163640225
2020-01-02,999.5054119733585,99.77224865237177,1488.372487329499,58.077105745991936
2020-01-03,1002.9715451074885,99.91346078957093,1481.6190156435914,58.823457529083434
2020-01-06,986.2361369602645,100.114157363524,1485.4242031313618,60.14139358809644
2020-01-07,980.0349949609277,99.76933403868645,1471.5330177400704,59.64752125406149
2020-01-08,998.812411747204,99.99679943105588,1475.1741290050809,59.55696888148323
2020-01-09,971.9498450137507,100.1928935322066,1480.8450293810088,57.61630361436999
2020-01-10,967.4792386173224,100.35143633744457,1492.7001994258683,60.15734975346453
2020-01-13,981.7154576866506,99.91566976529165,1520.9484709044762,62.17681906752092
2020-01-14,972.3606460081486,100.06583495999584,1491.4061511544617,62.12302429930566
2020-01-15,965.1486199958758,100.10329044817851,1496.157053519757,61.942125476773235
2020-01-16,964.3568241701519,100.41816653296969,1486.3934273209886,58.05735826470123
2020-01-17,981.0518565760434,100.99564684686806,1459.824674223099,59.388057918896244
2020-01-20,974.2169557462315,101.51366768047956,1471.706738766762,60.11980931322214
2020-01-21,969.5702367201046,101.5612768838599,1490.5790216362457,61.19689909797942
2020-01-22,965.0510605877569,101.57226463891567,1485.3016536633922,60.642620074851116
2020-01-23,989.744751487101,101.7862523523509,1488.4936373343037,60.00838630584008
2020-01-24,1014.8499837172562,101.44097385083064,1487.8214389044208,58.38635486101176
2020-01-27,1026.7298801039326,100.99004582534586,1494.1679259602101,59.38680268210042
2020-01-28,1031.496844843505,100.85135616253164,1506.8833801785486,61.039166517556225
2020-01-29,1040.420692187859,101.25136928049314,1512.0353430741534,62.56032742525764
2020-01-30,1058.4246570135174,101.1573637083124,1517.2168565969932,62.80886845899285
2020-01-31,1047.5178843165288,101.64884049293832,1535.6209123492397,62.347937828072546
2020-02-03,1061.8463885018245,100.77159197937549,1533.4692627225497,60.90852443671342
2020-02-04,1047.1212926603498,100.28050882082935,1547.1407820222673,59.96357557509617
2020-02-05,1039.8396569723304,100.25288578828962,1535.4064996947939,60.57499187928279
2020-02-06,1050.856247857259,100.54521118111161,1559.1401163828418,60.1862926743655
2020-02-07,1034.2316296138195,100.53463389396471,1570.2895456312765,62.394086302263965
2020-02-10,1032.8517943779766,100.51581652435895,1564.5506015253438,63.98917138527567
2020-02-11,1023.0675349085753,100.48874499239943,1533.8360121619687,63.13539436789143
2020-02-12,1020.3648145783044,99.94371849128136,1534.0673839870647,61.45560336689585
2020-02-13,988.7442074378353,100.32038091342102,1517.2649659364895,60.707050179827846
2020-02-14,969.3265363188316,100.11629441411287,1521.8008453524653,62.13973471736053
2020-02-17,961.9080371411413,100.47191613850251,1543.0491502695004,61.41600942879884
2020-02-18,972.3233956415756,100.46106168018257,1545.622310628795,62.149623134688156
2020-02-19,970.6566407646577,100.81112158526754,1543.2619536794891,61.368985155056194
2020-02-20,970.9337486750941,100.93168794772551,1548.4983192349994,61.82494648231833
2020-02-21,978.7880499359514,100.9092931094847,1552.9223540163482,62.5388330930606
2020-02-24,969.3204824895622,100.9927538084705,1518.868041911142,63.902570201898065
2020-02-25,972.6890949076787,100.5367581854653,1522.5640023218812,65.94333858240344
2020-02-26,964.0909872892981,100.55013829610904,1531.7495782885355,67.86497091505802
2020-02-27,945.6276805439063,101.10661942133561,1528.2355261981425,67.06532441453231
2020-02-28,941.6839481719139,101.53566414061956,1542.6691077579142,66.83734536875794
2020-03-02,948.0708429374995,101.23268330261821,1541.0460846285,65.11952972034342
2020-03-03,951.9586908351253,101.40561965380597,1552.4940285488497,64.77141874434679
2020-03-04,952.072008655471,101.49643358718372,1586.4443951331618,64.79554749313208
2020-03-05,978.4999328273983,101.76962182717037,1585.243846621985,64.21049812989271
2020-03-06,983.3409207007617,101.81142118977917,1556.657022770962,63.49111869348465
2020-03-09,994.5664110218972,101.74817714356956,1551.9525762783073,64.94180567529017
2020-03-10,1020.38798254055,102.18716567601645,1527.0831943316537,66.24341073809451
2020-03-11,1005.7791917654042,102.2685055416533,1536.164816496454,66.81797444717893
2020-03-12,994.2535540954506,102.6854251448077,1555.527793351996,64.95157362893676
2020-03-13,1014.3641799557963,103.0128054678017,1566.0305717536187,65.22927626250423
2020-03-16,1005.480952046318,102.91931729031072,1571.0191007413584,64.66843337489316
2020-03-17,1006.0741101308357,102.87693210034135,1561.7145911799787,66.56098290209998
2020-03-18,1018.6047666792252,103.51597286486873,1585.3838823891238,63.95745503350706
2020-03-19,1029.204991042197,103.59024114348404,1596.95411384432,63.163935815350214
